Device ID,time_stamp,kWh,Power,Cumul kWh,,Device ID,time_stamp,kWh,Power,Cumul kWh,,kWh Sum,W Sum
522,2016-03-29 05:00:00-07:00,0.02782565,27.82565,2.64508952,,523,2016-03-29 05:00:00-07:00,0.0524414,52.4414,4.78206333,,0.08026705,80.26705
522,2016-03-29 06:00:00-07:00,0.0278723,27.8723,2.67296182,,523,2016-03-29 06:00:00-07:00,0.05212535,52.12535,4.83418868,,0.07999765,79.99765
522,2016-03-29 07:00:00-07:00,0.02728641,27.28641,2.70024823,,523,2016-03-29 07:00:00-07:00,0.05163376,51.63376,4.88582244,,0.07892017,78.92017
522,2016-03-29 08:00:00-07:00,0.02793218,27.93218,2.72818041,,523,2016-03-29 08:00:00-07:00,0.05125626,51.25626,4.9370787,,0.07918844,79.18844
522,2016-03-29 09:00:00-07:00,0.02721478,27.21478,2.75539519,,523,2016-03-29 09:00:00-07:00,0.05183512,51.83512,4.98891382,,0.0790499,79.0499
522,2016-03-29 10:00:00-07:00,0.02709469,27.09469,2.78248988,,523,2016-03-29 10:00:00-07:00,0.05141052,51.41052,5.04032434,,0.07850521,78.50521
522,2016-03-29 11:00:00-07:00,0.02820753,28.20753,2.81069741,,523,2016-03-29 11:00:00-07:00,0.05134386,51.34386,5.0916682,,0.07955139,79.55139
522,2016-03-29 12:00:00-07:00,0.02761032,27.61032,2.83830773,,523,2016-03-29 12:00:00-07:00,0.05139228,51.39228,5.14306048,,0.0790026,79.0026
522,2016-03-29 13:00:00-07:00,0.02912952,29.12952,2.86743725,,523,2016-03-29 13:00:00-07:00,0.05180274,51.80274,5.19486322,,0.08093226,80.93226
522,2016-03-29 14:00:00-07:00,0.02899178,28.99178,2.89642903,,523,2016-03-29 14:00:00-07:00,0.05139397,51.39397,5.24625719,,0.08038575,80.38575
522,2016-03-29 15:00:00-07:00,0.02737818,27.37818,2.92380721,,523,2016-03-29 15:00:00-07:00,0.05173434,51.73434,5.29799153,,0.07911252,79.11252
522,2016-03-29 16:00:00-07:00,0.02785798,27.85798,2.95166519,,523,2016-03-29 16:00:00-07:00,0.05184266,51.84266,5.34983419,,0.07970064,79.70064
522,2016-03-29 17:00:00-07:00,0.02725268,27.25268,2.97891787,,523,2016-03-29 17:00:00-07:00,0.05186338,51.86338,5.40169757,,0.07911606,79.11606
522,2016-03-29 18:00:00-07:00,0.0276084,27.6084,3.00652627,,523,2016-03-29 18:00:00-07:00,0.05268704,52.68704,5.45438461,,0.08029544,80.29544
522,2016-03-29 19:00:00-07:00,0.0289512,28.9512,3.03547747,,523,2016-03-29 19:00:00-07:00,0.05211996,52.11996,5.50650457,,0.08107116,81.07116
522,2016-03-29 20:00:00-07:00,0.02869111,28.69111,3.06416858,,523,2016-03-29 20:00:00-07:00,0.05232588,52.32588,5.55883045,,0.08101699,81.01699
522,2016-03-29 21:00:00-07:00,0.02752335,27.52335,3.09169193,,523,2016-03-29 21:00:00-07:00,0.05144718,51.44718,5.61027763,,0.07897053,78.97053
522,2016-03-29 22:00:00-07:00,0.02816365,28.16365,3.11985558,,523,2016-03-29 22:00:00-07:00,0.05159096,51.59096,5.66186859,,0.07975461,79.75461
522,2016-03-29 23:00:00-07:00,0.02730238,27.30238,3.14715796,,523,2016-03-29 23:00:00-07:00,0.05141946,51.41946,5.71328805,,0.07872184,78.72184
522,2016-03-30 00:00:00-07:00,0.02749915,27.49915,3.17465711,,523,2016-03-30 00:00:00-07:00,0.05113254,51.13254,5.76442059,,0.07863169,78.63169
522,2016-03-30 01:00:00-07:00,0.02857923,28.57923,3.20323634,,523,2016-03-30 01:00:00-07:00,0.05083758,50.83758,5.81525817,,0.07941681,79.41681
522,2016-03-30 02:00:00-07:00,0.02894807,28.94807,3.23218441,,523,2016-03-30 02:00:00-07:00,0.05218575,52.18575,5.86744392,,0.08113382,81.13382
522,2016-03-30 03:00:00-07:00,0.02768658,27.68658,3.25987099,,523,2016-03-30 03:00:00-07:00,0.0523295,52.3295,5.91977342,,0.08001608,80.01608
522,2016-03-30 04:00:00-07:00,0.02984611,29.84611,3.2897171,,523,2016-03-30 04:00:00-07:00,0.05162939,51.62939,5.97140281,,0.0814755,81.4755
